name,team,experience,ewa,salary
Joel Embiid,PHI,0,,4527300
Jarvis Varnado,PHI,2,,
Jared Cunningham,,2,,
Jannero Pargo,CHO,10,,
James Young,BOS,0,,1712160
James McAdoo,GSW,0,,506091
James Jones,CLE,11,,3333333
Jabari Parker,MIL,0,,5041500
Isaiah Canaan,PHI,1,,778091
Gary Harris,DEN,0,,1553340
Gal Mekel,DAL,1,,
Festus Ezeli,GSW,2,,1302377
Erick Green,DEN,0,,777609
Eric Maynor,PHI,4,,2061360
Elfrid Payton,ORL,0,,2451780
Drew Gooden,MIL,12,,1448490
Doug McDermott,CHI,0,,2329200
Dante Exum,UTA,0,,3696360
Damjan Rudez,IND,0,,1124750
Damien Inglis,MIL,0,,885144
Cleanthony Early,NYK,0,,676198
Carlos Delfino,LAC,,,
Carl Landry,SAC,7,,
C.J. Wilcox,LAC,0,,1134720
C.J. McCollum,POR,1,,2420960
Bruno Caboclo,TOR,0,,1491180
Brendan Haywood,DAL,,,
Bojan Bogdanovic,BRK,0,,3425510
Bernard James,DAL,2,,
Austin Daye,SAS,,,
Arnett Moultrie,NYK,2,,
Andre Roberson,OKC,1,,1037413
AJ Price,,5,,
Adreian Payne,MIN,0,,1897080
Aaron Gray,DET,7,,1292066
Aaron Gordon,ORL,0,,4081860
Jason Richardson,PHI,13,,6000000
